Id,AccountId,City,State,Country,StageName,Applicant_Type__c,income_as_a_of_DP200_income__c,Deposit_spent_on_DOD__c,Monthly_ongoing_financial_commitments__c,DP_Primary_income_frequency__c,DP_enders_with_uncleared_dishonours_233__c,Primary_regular_benefit_frequency__c,Largest_income_source_day_of_week__c,Frequency_for_largest_income_source__c,Total_monthly_income_ongoin_Reg_231__c,DP_Dishonours_Across_Primary_Acct_244__c,DP_No_Direct_Debits_On_Primary_Acct_355__c,Amount_of_SACC_commitments_due__c,Largest_income_Src_Avg_freq__c,Largest_income_Src_last_payment_amt__c,agency_collection_providers__c,income_DP200_spend_on_high_risk_merch__c,most_recent_loan_has_no_repayments__c,Income_source_is_other_income_549__c,Summary_Income__c,Summary_Expenses__c,Rent_Mortgage__c,Loan_Amount__c,Total_Repayment_Amount__c,Total_Repayments__c,Term_in_Weeks__c,Payment_Frequency__c,Applicant_Age__c,Summary_Income_CV__c,Amount_Requested__c,Employment_Status__c,Dishonours_203__c,DP_Insolvency_Indicator__c,DP_Days_in_Overdrawn_For_Period__c,Dishonours_For_Last_30_Days_DP907__c,Salary_Gov_Allowances_all_types_2117__c,DP_Monthly_avg_of_SACC_repayments__c,DP_Avg_Monthly_Loan_Liability_269__c,Repayment_Amount__c,Opportunity_Origin__c,Current_Balance__c,Opp_Number__c,loan_dishonours__c,Bank_Report_Gov_Benefit__c,Purpose_of_Loan__c,DE_Results,DP_Total_Monthly_Benefit_Income__c,Total_monthly_credits__c,Summary_Income_BS__c
0062x00000EdfhOAAR,0012x00000BFKZgAAP,WARRABER ISLET,QLD,Australia,Loan Paid,Existing Client-Granted Loan Before,0.0,77.07,1813.2369,2.0,0.0,0.0,2.0,2.0,3855.3534,1.0,15.0,0.0,1635.8233,1807.86,1.0,0.0,0.0,0.0,1969.13,599.0,170.0,2050,2627.86,8.0,15.0,Fortnightly,37.0,3925.35,2050.0,Full-Time Employment,1.0,0.0,0.011,0.0,3271.6466,1162.0,1755.4333,328.49,MoneySpot,-0.07,6437032,1.0,False,Furniture or Appliances,Orange,0.0,4642.0,3925.35
0062x00000F26o2AAB,0012x00000kfurcAAA,Blacktown,NSW,Australia,Loan Paid,Existing Client-No Loan Granted Ever,1.22,48.78,859.0399,2.0,0.0,2.0,2.0,2.0,9614.5806,0.0,31.0,876.7,2658.8483,2567.8,0.0,4.59,0.0,0.0,4225.0,1500.0,1060.0,2050,2817.3,16.0,31.0,Fortnightly,30.0,10470.66,2200.0,Full-Time Employment,0.0,0.0,0.0,0.0,9082.62,677.0,2622.1566,176.09,MoneySpot,0.0,6945142,0.0,False,Living Expenses,Orange,115.0,9418.0,10470.66
0062x00000DsOpQAAV,0010K000029HmFEQA0,East Nanango,QLD,Australia,Loan Paid,Existing Client-Granted Loan Before,0.0,22.49,3371.3405,2.0,0.0,0.0,3.0,2.0,5431.5139,0.0,50.0,671.1003,2377.245,2250.78,1.0,0.47,0.0,0.0,5850.0,1499.0,1360.0,2050,2631.38,8.0,15.143,Fortnightly,38.0,5431.51,2050.0,Full-Time Employment,0.0,0.0,0.4286,0.0,4754.49,964.0,3680.6566,328.93,QuickCash,0.0,5237699,0.0,False,Home Maintenance & Repairs,Orange,0.0,6655.0,5431.51
0062x00000D9P3NAAV,0012x00000bn9RiAAI,Kingsley,WA,Australia,Closed Lost,Existing Client-Granted Loan Before,52.17,91.07,1145.9713,4.0,0.0,2.0,5.0,2.0,5142.3851,5.0,52.0,0.0,963.4157,934.0,1.0,0.0,0.0,0.0,0.0,400.0,1440.0,2050,2608.03,7.0,13.143,Fortnightly,22.0,5385.43,2050.0,Unemployed,5.0,0.0,0.0,0.0,2990.33,298.0,2886.1866,372.58,MoneySpot,,4580733,0.0,True,Child Expenses,Orange,2990.0,5731.0,5385.43
0062x00000EzcpzAAB,0012x00000XOFsLAAX,Kaleen,ACT,Australia,Loan Paid,Existing Client-Granted Loan Before,0.0,30.36,2725.5365,1.0,0.0,0.0,3.0,1.0,5318.1686,2.0,51.0,0.0,1223.9076,1443.0,0.0,0.58,0.0,0.0,3954.81,599.0,360.0,2050,2754.2,26.0,25.857,Weekly,56.0,5332.51,2050.0,Full-Time Employment,2.0,0.0,0.022,2.0,5316.8,1117.0,2725.5366,105.94,MoneySpot,0.0,6822521,0.0,False,Living Expenses,Orange,0.0,5904.0,5332.51
0062x00000DZ3l6AAD,0012x00000KLdq3AAD,Malvern East,VIC,Australia,Loan Paid,Existing Client-Granted Loan Before,1.43,88.79,4503.0141,2.0,0.0,2.0,1.0,2.0,6171.6276,0.0,15.0,0.0,2444.7433,2633.54,2.0,0.0,0.0,0.0,4116.67,599.0,1700.0,2050,2662.21,8.0,16.429,Fortnightly,37.0,13324.96,4000.0,Full-Time Employment,0.0,0.0,0.978,0.0,5240.3266,1155.0,8895.22,332.78,MoneySpot,0.0,5069475,0.0,False,Veterinary Expenses,Green,351.0,24418.0,13324.96
0062x00000DGjtwAAD,0010K000021E8pvQAC,Reservoir,VIC,Australia,Loan Paid,Existing Client-Granted Loan Before,0.0,70.02,1032.6519,2.0,0.0,0.0,3.0,2.0,6843.1355,2.0,40.0,1907.52,1546.7814,1433.93,0.0,23.28,0.0,0.0,2026.0,400.0,700.0,2050,2698.8,10.0,20.0,Fortnightly,40.0,9272.1,2050.0,Part-Time Employment,2.0,0.0,0.0,2.0,6815.0333,2349.0,2349.05,269.89,MoneySpot,0.0,4739463,0.0,False,Life Event Expenses,Orange,0.0,9744.0,9272.1
0062x00000F07huAAB,0012x000002bp3yAAA,Warwick Farm,NSW,Australia,Loan Paid,Existing Client-Granted Loan Before,0.08,36.98,2894.4763,3.0,0.0,0.0,5.0,3.0,6882.2348,40.0,59.0,0.0,6130.17,6130.17,1.0,0.23,0.0,0.0,4200.0,899.0,500.0,2050,2692.02,4.0,17.286,Monthly,31.0,7207.01,2050.0,Full-Time Employment,40.0,0.0,0.5275,2.0,6130.17,916.0,4613.71,673.01,QuickCash,0.0,6857681,12.0,False,Medical Expenses,Orange,6.0,7301.0,7207.01
0062x00000E5hjQAAR,0012x00000iIPslAAG,Park Ridge,QLD,Australia,Closed Lost,Existing Client-No Loan Granted Ever,0.0,89.67,0.0,4.0,0.0,0.0,4.0,4.0,15336.9299,0.0,0.0,0.0,1521.839,2823.0,0.0,0.27,0.0,1.0,6283.33,599.0,500.0,2050,2730.34,24.0,23.857,Weekly,44.0,30483.64,3000.0,Full-Time Employment,3.0,0.0,0.0,0.0,5272.89,0.0,457.4966,113.77,MoneySpot,,5675107,0.0,False,Furniture or Appliances,Orange,0.0,28945.0,30483.64
0062x00000FUQ2eAAH,0012x00000TtKo4AAF,Kewdale,WA,Australia,Closed Lost,Existing Client-Granted Loan Before,0.23,75.93,1146.7563,2.0,0.0,0.0,3.0,2.0,6151.205,0.0,29.0,53.2292,2831.24,3578.04,0.0,0.15,0.0,0.0,4381.29,899.0,400.0,2050,2628.08,8.0,15.0,Fortnightly,54.0,6471.21,2050.0,Full-Time Employment,0.0,0.0,0.6484,0.0,4718.7333,555.0,952.5733,328.52,MoneySpot,,7507521,0.0,False,Other Expenses,Green,14.0,5993.0,6471.21
