id,StageName,Opportunity_Origin__c,DNB_Scoring_Rate__c,Current_Balance__c,Applicant_Type__c,Opp_number__C,Multiple_Lenders_Hardship__c,income_as_a_of_DP200_income__c,Deposit_spent_on_DOD__c,DP_Monthly_avg_of_SACC_repayments__c,Monthly_ongoing_financial_commitments__c,DP_Primary_income_frequency__c,DP_Primary_income_last_pay_date__c,DP_enders_with_uncleared_dishonours_233__c,Primary_regular_benefit_frequency__c,Last_pay_date_for_largest_inc_src_302__c,Largest_income_source_day_of_week__c,Next_pay_date_for_largest_income_source__c,Frequency_for_largest_income_source__c,Primary_regular_benefit_last_pay_date__c,loan_dishonours__c,Primary_regular_benefit_monthly_amount__c,Courts_and_Fines_transactions__c,Total_monthly_income_ongoin_Reg_231__c,DP_Total_Monthly_Benefit_Income__c,DP_Dishonours_Across_Primary_Acct_244__c,DP_No_Direct_Debits_On_Primary_Acct_355__c,DP_Budget_Management_Services__c,Hardship_Indicator_Gambling__c,DP_Monthly_rent_amount_236__c,Amount_of_SACC_commitments_due__c,Largest_income_Src_Avg_freq__c,Largest_income_Src_last_payment_amt__c,Deposits_since_last_SACC_dishonour__c,SACC_commitments_due_next_month__c,Total_monthly_credits__c,agency_collection_providers__c,Collection_agency_transactions__c,Average_monthly_amount_of_Courts_and_Fin__c,Courts_and_Fines_providers__c,income_DP200_spend_on_high_risk_merch__c,most_recent_loan_has_no_repayments__c,Deposits_since_last_dishonour__c,Income_source_is_other_income_549__c,Bank_Report_Gov_Benefit__c,Income_source_is_a_government_benefit__c,Summary_Income__c,Summary_Expenses__c,Rent_Mortgage__c,Summary_Total__c,Loan_Amount__c,Total_Repayment_Amount__c,Salary_Gov_Allowances_all_types_2117__c,Dishonours_For_Last_30_Days_DP907__c,DP_Days_in_Overdrawn_For_Period__c,Dishonours_203__c
0062x00000DYHTWAA5,Closed Won-Payment Failed,QuickCash,,288.34,Existing Client-No Loan Granted Ever,5023383,150,52,17.23,40,40,3,05-04-2023,1,0,05-04-2023,3,,3,,2,0,0,42.5199,1270,2,6,0,0,0,35.7843,20,25,1,1.47,2442,0,0,0,0,0,0,1,1,0,0,1001,400,50,551,500,640,0,0,0,0
0062x00000DYYl5AAH,Closed Won-Payment Failed,QuickCash,,435,Existing Client-No Loan Granted Ever,5039747,0,0,24.76,0,0,0,,0,0,,0,,0,,0,0,0,2200,0,0,2,0,0,0,0,0,0,0,0,6219,0,0,0,0,0,0,0,0,0,0,3800,2000,800,1000,500,640,2915.35,0,0.1868,2
0062x00000DYxRTAA1,Closed Won-Payment Failed,MoneySpot,,288.33,Existing Client-No Loan Granted Ever,5062278,0,12.34,70.79,0,0,4,06-04-2023,0,2,06-04-2023,4,,4,06-04-2023,0,1663.8677,0,7666.4643,1569,0,7,0,0,0,0,1521.4285,2500,7,0,12711,0,0,0,0,0,0,7,1,0,0,0,400,600,-1000,500,640,3775.62,0,0.5604,1
0062x00000DZeMmAAL,Closed Won-Payment Failed,Financier-2,,460,Existing Client-Granted Loan Before,5104474,24.2,0,78.64,463,1174.4346,1,14-04-2023,1,0,14-04-2023,5,21-04-2023,1,,5,0,0,6239.861,0,8,33,0,0,0,382.36,1094.27,1094.27,9,12.45,5967,0,0,0,0,0,0,9,0,0,0,5416.67,599,1200,3617.67,500,640,191.4,0,0,0
0062x00000DZuKCAA1,Closed Won-Payment Failed,MoneySpot,,325,Existing Client-Granted Loan Before,5123529,4369.95,0,12.64,919,5674.3199,4,14-04-2023,0,0,14-04-2023,5,,4,,5,0,0,177.6333,0,5,130,0,0,0,475.3415,66.6125,76.95,8,6.23,7627,0,0,0,0,0,0,3,1,0,0,5432.3,400,600,4432.3,500,640,6032.5666,0,0.0659,0
0062x0000039wjWAAQ,Debt Management,Financier-2,,0,Existing Client-Granted Loan Before,931363,68.99,0,69.38,3068,5716.5819,4,23-05-2020,1,0,23-05-2020,6,,4,,1,0,0,4446.8566,0,1,20,0,163.31,0,907.9681,430.3409,1340,31,88.57,4900,1,7,0,0,100,0,31,1,0,,4550,400,0,4150,500,640,6823.85,4,0.011,4
0062x000008AIYJAA4,Debt Management,QuickCash,,0,New Client-New Loan,1774611,21.79,51.82,56.27,153,308.6717,1,21-04-2021,0,2,21-04-2021,3,28-04-2021,1,22-04-2021,0,1577.2714,0,4764.3231,3095,0,31,0,0,0,464.3104,389.053,425.84,13,7.77,5972,0,0,0,0,0,0,13,0,0,,800,2000,500,-1700,500,640,4104.6,0,0,0
0062x000008AIyMAAW,Debt Management,Financier-2,,0,Existing Client-Granted Loan Before,1774872,53.71,0,35.4,1463,1841.9039,4,23-04-2021,0,0,23-04-2021,5,,4,,0,0,0,4163.0066,0,0,46,0,1.8,0,1825.4187,1387.6688,1552.3,9,54.43,4196,0,0,0,0,1.79,0,9,0,0,,3685.83,899,100,2686.83,500,640,3025.3866,0,0,0
0062x000008AJLgAAO,Debt Management,MoneySpot,,0,Existing Client-No Loan Granted Ever,1775037,98.35,0,83.4,662,872.5772,2,30-03-2021,1,0,30-03-2021,2,13-04-2021,2,,1,0,0,2597.7415,0,7,76,0,1.08,0,3104.9103,1195.674,1180.15,5,145.29,2550,0,0,0,0,1.1,1,0,0,0,,2332.01,899,134,1299.01,500,640,2059.64,0,0,0
0062x000008AK88AAG,Debt Management,MoneySpot,,516.31,New Client-New Loan,1775581,5.54,0,66.58,0,139.0333,2,06-04-2021,0,0,06-04-2021,2,20-04-2021,2,,0,0,0,4242.6687,0,2,13,0,0.12,0,0,1952.79,1952.79,5,0,3918,1,1,0,0,0.13,0,1,0,0,,0,0,1840,-1840,500,640,1887.73,0,0,0
0062x000008ywvcAAA,Debt Management,MoneySpot,,0,New Client-New Loan,1784422,35.05,0.19,39.54,697,867.2637,1,26-04-2021,0,0,26-04-2021,1,03-05-2021,1,,0,0,0,4872.9654,18,0,19,0,33.52,0,0.5568,826.6992,845.8,13,24.78,9409,0,0,0,0,12.8,0,13,1,0,,845,2000,540,-1695,500,640,2721.8533,3,0,3
0062x000008zYOjAAM,Debt Management,Financier-2,,0,Existing Client-Granted Loan Before,1806010,1234.94,0,78.44,2877,1578.6827,4,04-05-2021,0,0,04-05-2021,2,,4,,1,0,0,1983.0432,0,3,88,0,127.2,0,3203.3343,93.75,50,4,42.79,10543,0,0,0,0,3.02,2,4,1,0,,6526,899,320,5307,500,640,2048.6633,0,0.011,1
0062x000008zq0WAAQ,Debt Management,Financier-2,,0,Existing Client-Granted Loan Before,1814925,82.36,0,77.43,2221,2278.5199,2,10-05-2021,0,0,10-05-2021,1,24-05-2021,2,,5,0,0,5798.3716,0,7,40,0,0,0,789.2535,2424.2971,2746.08,1,11.79,6693,0,0,0,0,0,0,1,0,0,,0,400,2320,-2720,500,640,3822.6666,0,0.033,0
0062x0000090R6WAAU,Debt Management,MoneySpot,,0,Existing Client-No Loan Granted Ever,1832724,25.86,0.44,48.83,429,835.7142,2,10-05-2021,0,0,10-05-2021,1,24-05-2021,2,,0,0,0,4666.2887,28,0,20,0,2.45,0,671.5348,1746.5666,1768.15,6,10.71,6269,0,0,0,0,1.48,0,6,0,0,,3793.72,400,215,3178.72,500,640,5144.39,0,0.3956,3
0062x0000090vYkAAI,Debt Management,QuickCash,,0,Existing Client-Granted Loan Before,1846439,39.52,0,24.69,544,354.1351,4,10-05-2021,0,0,10-05-2021,1,,4,,0,0,0,3425.1833,0,0,22,0,0,0,560.6393,1861.11,1861.11,5,19.19,4486,0,0,0,0,0,0,5,1,0,,3140.49,400,200,2540.49,500,640,1411.5033,0,0.2198,0
0062x0000091VHOAA2,Debt Management,QuickCash,,0,Existing Client-No Loan Granted Ever,1864583,63.52,0,84.14,962,3063.7138,2,29-04-2021,1,0,29-04-2021,4,13-05-2021,2,,1,0,0,9527.8566,0,1,54,0,2.36,0,1056,3056,2568,0,39.27,7436,0,0,0,0,2.11,1,0,0,0,,5070,0,800,4270,500,640,0,0,0,0
0062x0000091tVSAAY,Debt Management,Financier-2,,0,Existing Client-Granted Loan Before,1876916,33.97,29.93,50.47,1109,1245.3802,4,26-05-2021,0,4,26-05-2021,3,,4,21-05-2021,2,1678.3166,0,8785.9616,2767,2,34,0,2.41,0,1004.1769,1618.1712,1749.26,4,31.4,9244,0,0,0,0,1.13,0,4,0,0,,4414.32,599,2107,1708.32,500,640,2061.08,0,0.1868,5
0062x000009288bAAA,Debt Management,Financier-2,,0,Existing Client-Granted Loan Before,1882852,38.31,0,81.78,913,564.9275,1,26-05-2021,0,0,26-05-2021,3,02-06-2021,1,,0,0,2,7258.6222,0,0,36,0,42.37,0,367.4758,1107.5625,1036.4,12,4.72,7787,0,0,27,2,26.18,0,12,0,0,,4116.67,899,225,2992.67,500,640,1859.3333,4,0.033,8
