id,StageName,Opportunity_Origin__c,DNB_Scoring_Rate__c,Current_Balance__c,Applicant_Type__c,Opp_number__C,Multiple_Lenders_Hardship__c,income_as_a_of_DP200_income__c,Deposit_spent_on_DOD__c,DP_Monthly_avg_of_SACC_repayments__c,Monthly_ongoing_financial_commitments__c,DP_Primary_income_frequency__c,DP_Primary_income_last_pay_date__c,DP_enders_with_uncleared_dishonours_233__c,Primary_regular_benefit_frequency__c,Last_pay_date_for_largest_inc_src_302__c,Largest_income_source_day_of_week__c,Next_pay_date_for_largest_income_source__c,Frequency_for_largest_income_source__c,Primary_regular_benefit_last_pay_date__c,loan_dishonours__c,Primary_regular_benefit_monthly_amount__c,Courts_and_Fines_transactions__c,Total_monthly_income_ongoin_Reg_231__c,DP_Total_Monthly_Benefit_Income__c,DP_Dishonours_Across_Primary_Acct_244__c,DP_No_Direct_Debits_On_Primary_Acct_355__c,DP_Budget_Management_Services__c,Hardship_Indicator_Gambling__c,DP_Monthly_rent_amount_236__c,Amount_of_SACC_commitments_due__c,Largest_income_Src_Avg_freq__c,Largest_income_Src_last_payment_amt__c,Deposits_since_last_SACC_dishonour__c,SACC_commitments_due_next_month__c,Total_monthly_credits__c,agency_collection_providers__c,Collection_agency_transactions__c,Average_monthly_amount_of_Courts_and_Fin__c,Courts_and_Fines_providers__c,income_DP200_spend_on_high_risk_merch__c,most_recent_loan_has_no_repayments__c,Deposits_since_last_dishonour__c,Income_source_is_other_income_549__c,Bank_Report_Gov_Benefit__c,Income_source_is_a_government_benefit__c,Summary_Income__c,Summary_Expenses__c,Rent_Mortgage__c,Summary_Total__c,Loan_Amount__c,Total_Repayment_Amount__c
0062x00000AYn2kAAD,Loan Paid,MoneySpot,,0,Existing Client-Granted Loan Before,3296086,40.65,6.37,86.27,551,928.1999,2,29/06/2022,0,0,29/06/2022,3,13/07/2022,2,,0,0,0,2456.1701,250,0,18,0,51.01,0,717.5943,1130.5116,1089.51,6,18.31,3919,0,0,0,0,31.97,0,6,0,0,,0,400,400,-800,2500,3150.94
0062x00000CSdpDAAT,Loan Paid,MoneySpot,,0,Existing Client-Granted Loan Before,3901208,24.02,0,67.6,375,491.8131,2,12/10/2022,0,0,12/10/2022,3,26/10/2022,2,,0,0,1,7178.727,0,0,22,0,0,0,986.9021,2375.918,2394.22,5,15.46,6385,1,5,33,1,0,0,5,0,0,,1950,1499,1500,-1049,2500,3151.02
0062x00000CSdpDAAT,Loan Paid,MoneySpot,,0,Existing Client-Granted Loan Before,3901208,24.02,0,67.6,375,491.8131,2,12/10/2022,0,0,12/10/2022,3,26/10/2022,2,,0,0,1,7178.727,0,0,22,0,0,0,986.9021,2375.918,2394.22,5,15.46,6385,1,5,33,1,0,0,5,0,0,,1950,1499,1500,-1049,2500,3151.02
0062x00000DAR1YAAX,Loan Paid,MoneySpot,,0,Existing Client-Granted Loan Before,4629452,27.76,0,36.99,551,446.9533,2,25/01/2023,0,0,25/01/2023,3,08/02/2023,2,,1,0,0,3779.4746,0,1,23,0,0.53,0,0,1739.595,1726.32,4,0,5382,0,0,0,0,0.37,0,4,1,0,,2600,599,1000,1001,2500,3151.03
0062x00000DAOU8AAP,Loan Paid,MoneySpot,,-0.16,Existing Client-Granted Loan Before,4627833,91.4,0,73.53,900,3215.398,2,25/01/2023,3,0,25/01/2023,3,08/02/2023,2,,8,0,0,3276.8878,0,11,65,0,0.4,0,737.4589,1508.2666,1510.64,3,23.56,3130,1,6,0,0,0.42,0,2,0,0,,3900,899,400,2601,2500,3151.03
0062x00000DAR1YAAX,Loan Paid,MoneySpot,,0,Existing Client-Granted Loan Before,4629452,27.76,0,36.99,551,446.9533,2,25/01/2023,0,0,25/01/2023,3,08/02/2023,2,,1,0,0,3779.4746,0,1,23,0,0.53,0,0,1739.595,1726.32,4,0,5382,0,0,0,0,0.37,0,4,1,0,,2600,599,1000,1001,2500,3151.03
0062x00000DAOU8AAP,Loan Paid,MoneySpot,,-0.16,Existing Client-Granted Loan Before,4627833,91.4,0,73.53,900,3215.398,2,25/01/2023,3,0,25/01/2023,3,08/02/2023,2,,8,0,0,3276.8878,0,11,65,0,0.4,0,737.4589,1508.2666,1510.64,3,23.56,3130,1,6,0,0,0.42,0,2,0,0,,3900,899,400,2601,2500,3151.03
0062x00000DAOMsAAP,Closed Won-Funded,MoneySpot,,3284.33,Existing Client-Granted Loan Before,4627722,23.89,0,98.53,770,551.4307,2,11/01/2023,0,0,11/01/2023,3,25/01/2023,2,,2,0,0,3418.1367,0,2,14,0,2.25,0,397.5712,1573.28,1095.58,3,12.63,3147,1,2,0,0,2.45,0,3,0,0,,1245.83,899,200,146.83,2500,3151.03
0062x00000DAOMsAAP,Closed Won-Funded,MoneySpot,,3288.55,Existing Client-Granted Loan Before,4627722,23.89,0,98.53,770,551.4307,2,11/01/2023,0,0,11/01/2023,3,25/01/2023,2,,2,0,0,3418.1367,0,2,14,0,2.25,0,397.5712,1573.28,1095.58,3,12.63,3147,1,2,0,0,2.45,0,3,0,0,,1245.83,899,200,146.83,2500,3151.03
0062x00000BIbteAAD,Loan Paid,MoneySpot,,0,Existing Client-Granted Loan Before,3189436,56.64,7.78,37.87,2104,1219.9481,2,10/06/2022,0,1,10/06/2022,4,24/06/2022,2,14/06/2022,3,489.9582,0,5957.5828,451,4,0,0,0,0,769.8037,2148.7866,1747.55,4,72.53,5791,1,4,0,0,0,0,4,0,0,,3900,599,720,2581,2500,3151.06
